,logtau
V1,1.239790947
MST,1.154318257
V6,1.168315697
V2,1.269493495
V3,1.232058164
V4,1.300004492
V8,1.11408789
4,1.179209745
3b,1.224846099
FEF,1.17525987
PEF,1.143233801
55b,1.292923483
V3A,1.17662691
RSC,1.375140715
POS2,1.185143377
V7,1.198877664
IPS1,1.209638524
FFC,1.275337748
V3B,1.316229419
LO1,1.356153998
LO2,1.202767604
PIT,1.131053269
MT,1.203202779
A1,1.292212085
PSL,1.282407555
SFL,1.375482871
PCV,1.389709544
STV,1.246270981
7Pm,1.235494271
7m,1.253595952
POS1,1.21505795
23d,0.986824587
v23ab,1.448158846
d23ab,1.404128269
31pv,1.37681361
5m,1.219961739
5mv,1.319844915
23c,1.237901691
5L,1.208037333
24dd,1.086405143
24dv,1.186074392
7AL,1.418447181
SCEF,1.183540919
6ma,1.232909774
7Am,1.444422044
7PL,1.20738224
7PC,1.259534087
LIPv,1.302299159
VIP,1.472420337
MIP,1.220128146
1,1.195068975
2,1.125372405
3a,1.195781761
6d,1.093388573
6mp,1.097187911
6v,1.286813701
p24pr,1.226920329
33pr,1.251604535
a24pr,1.344463508
p32pr,1.261437635
a24,1.392813988
d32,1.487566498
8BM,1.407080053
p32,1.355541161
10r,1.424454783
47m,1.404512116
8Av,1.319756142
8Ad,1.418328597
9m,1.420472825
8BL,1.421751621
9p,1.343604368
10d,1.341846217
8C,1.235755288
44,1.275711643
45,1.394137889
47l,1.447530648
a47r,1.336062777
6r,1.233163907
IFJa,1.252626758
IFJp,1.20014568
IFSp,1.320654041
IFSa,1.408558346
p9-46v,1.305404376
46,1.236848344
a9-46v,1.31599442
9-46d,1.297639446
9a,1.134096883
10v,1.451455918
a10p,1.359617759
10pp,1.429222312
11l,1.441231086
13l,1.486407924
OFC,1.496236813
47s,1.502938196
LIPd,1.174191849
6a,1.275992816
i6-8,1.41449488
s6-8,1.495710673
43,1.22589316
OP4,1.244360187
OP1,1.280763989
OP2-3,1.340086607
52,1.412077506
RI,1.327705099
PFcm,1.280060509
PoI2,1.333818778
TA2,1.334768712
FOP4,1.283862926
MI,1.349765292
Pir,1.354715492
AVI,1.423664249
AAIC,1.440060055
FOP1,1.243400806
FOP3,1.224698332
FOP2,1.217811644
PFt,1.202446138
AIP,1.28052425
EC,1.680785577
PreS,1.692537899
H,1.65721429
ProS,1.275821401
PeEc,1.60667351
STGa,1.433347381
PBelt,1.285241708
A5,1.298503309
PHA1,1.45832447
PHA3,1.297245857
STSda,1.353493691
STSdp,1.302261923
STSvp,1.353187483
TGd,1.549822182
TE1a,1.451418339
TE1p,1.339421137
TE2a,1.40397455
TF,1.38648507
TE2p,1.297774061
PHT,1.304831276
PH,1.24433401
TPOJ1,1.260368866
TPOJ2,1.210357063
TPOJ3,1.238248183
DVT,1.202163444
PGp,1.278470851
IP2,1.320559506
IP1,1.204145747
IP0,1.274554026
PFop,1.224612235
PF,1.23895507
PFm,1.24527838
PGi,1.244752893
PGs,1.261841634
V6A,1.294590215
VMV1,1.287941864
VMV3,1.322282036
PHA2,1.436040076
V4t,1.169844963
FST,1.165432768
V3CD,1.357592088
LO3,1.235663768
VMV2,1.428624264
31pd,1.308845064
31a,1.30123195
VVC,1.249843651
25,1.49747282
s32,1.476366575
pOFC,1.505848207
PoI1,1.38045641
Ig,1.297180195
FOP5,1.384131422
p10p,1.10287581
p47r,1.431140222
TGv,1.550274575
MBelt,1.315128555
LBelt,1.342148619
A4,1.276529424
STSva,1.401895745
TE1m,1.379297672
PI,1.334794215
a32pr,1.437396347
p24,1.479775009